Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
170,0.0260663,0.0259763,0.0153875,0.0190019,0.0129477,0.00221633,0.00355243,0.00586507,0.00800841,0.00581296,0.0192217,0.0173888,0.00896226,0.00516784,0.00876211,0.0125868,0.00384347,0.0119895,0.00800842,0.00929754,0.0036998,0.00505675,0.0096064,0.0188109,0.00792616,0.0074254,0.0120254,0.0077741,0.0124385,0.0137819,0.00736593,0.0133662,0.0112671,0.01062,0.00785476,0.00733799,0.0045327,0.0123919,0.00630258,0.0154996,0.010343,0.0127295
171,0.0262926,0.0256559,0.0151502,0.012332,0.0121612,0.00195724,0.00323314,0.00599892,0.00766079,0.00639134,0.0247885,0.0168565,0.0053799,0.00249917,0.00777974,0.0108637,0.00249368,0.00787827,0.0106141,0.00843869,0.00337472,0.00425928,0.00941882,0.0182528,0.008591,0.00734876,0.0125211,0.00770035,0.0123045,0.0139987,0.00835777,0.0132526,0.0107301,0.0106385,0.00831556,0.00638391,0.004469,0.01237,0.00514867,0.0154831,0.010698,0.0132111
172,0.0264797,0.0254042,0.0149736,0.00865002,0.0108471,0.00173396,0.00285751,0.00614191,0.00741505,0.00698269,0.0298597,0.0164157,0.00163894,0.00220184,0.00581088,0.00939374,0.00207014,0.00384492,0.0130776,0.00744106,0.00315426,0.00345059,0.00950298,0.0176559,0.00850976,0.00722208,0.0127308,0.00755297,0.0122252,0.0142786,0.00910298,0.0131978,0.00975484,0.00988062,0.0084642,0.00577676,0.00410663,0.011908,0.00442039,0.0153671,0.011041,0.0135173
173,0.026582,0.0252455,0.0148018,0.00803952,0.00925134,0.00160367,0.00258278,0.00623898,0.00721396,0.00748793,0.0335765,0.0161475,0.00413556,0.00453095,0.00327939,0.00835406,0.00233183,0.00256084,0.0148708,0.00652151,0.00314589,0.002804,0.00959369,0.0170403,0.00761471,0.00718269,0.0126776,0.00739835,0.0122268,0.0145585,0.00951425,0.0132398,0.00875751,0.00871797,0.00807339,0.00563844,0.00403739,0.0108803,0.00452177,0.0151895,0.0114658,0.0137715
174,0.0265956,0.0251363,0.0146178,0.00944804,0.007756,0.00164416,0.00247995,0.00622214,0.00698047,0.0078447,0.0362025,0.0160913,0.00828903,0.00685083,0.00190826,0.00775564,0.00315073,0.00537755,0.0160701,0.00591018,0.00333181,0.00242401,0.00957527,0.0163727,0.00632131,0.00722053,0.0123313,0.00716774,0.0122677,0.0147322,0.0096851,0.0133363,0.00791108,0.00764463,0.007071,0.00585527,0.0043849,0.00970221,0.00527242,0.0149991,0.0119538,0.0139508
175,0.0265415,0.0250279,0.0143682,0.0112839,0.00674775,0.00167883,0.00250471,0.00605639,0.00669986,0.00808838,0.0379782,0.016223,0.0112518,0.00858103,0.00318388,0.00766083,0.00430394,0.0082276,0.0167437,0.00566502,0.00358325,0.00230791,0.00951137,0.0155957,0.00545021,0.00725444,0.0116445,0.00675219,0.0122901,0.0147087,0.00998386,0.0133836,0.00704138,0.00676616,0.00574426,0.00624674,0.00491345,0.00909192,0.00633129,0.0148503,0.0123941,0.0139251
176,0.0264641,0.0248971,0.0139506,0.0121041,0.00645097,0.00158989,0.00262837,0.00575372,0.00644865,0.00833852,0.0384244,0.0164426,0.0123966,0.00938499,0.00408788,0.00798878,0.00540244,0.0102733,0.016872,0.00565148,0.00372321,0.00230822,0.00953826,0.0146862,0.00528596,0.00732959,0.0106054,0.00612759,0.0122453,0.0144328,0.0108906,0.0132675,0.0060756,0.00581482,0.00473049,0.00661643,0.00544227,0.0092047,0.00742388,0.0146883,0.0126273,0.0135651
177,0.0264129,0.024734,0.0133042,0.0119928,0.00697697,0.00160771,0.00285974,0.0053793,0.0063513,0.00871835,0.0370492,0.0166222,0.0117619,0.00920753,0.0039671,0.00830744,0.00613345,0.011238,0.0167319,0.00574302,0.00360919,0.00220229,0.00977207,0.0137029,0.00518494,0.00757475,0.00929512,0.00538949,0.0120841,0.0139005,0.0127199,0.0129377,0.00536687,0.00476177,0.00443464,0.00675034,0.00599716,0.00948585,0.00843126,0.0143235,0.0125122,0.0128207
178,0.0263917,0.0245317,0.0125241,0.0115402,0.0080164,0.00202339,0.00316712,0.00505539,0.00651165,0.00926473,0.0345683,0.0166719,0.0100229,0.00844335,0.00362951,0.00832043,0.00632344,0.0110589,0.0169105,0.00597287,0.0032265,0.00185282,0.0102656,0.012763,0.00463614,0.00800671,0.00789859,0.00470135,0.0117983,0.0131711,0.0154497,0.0124474,0.0052377,0.00406326,0.00466311,0.00645221,0.006577,0.00943538,0.00945565,0.0136038,0.0120018,0.0117297
179,0.026351,0.0242892,0.01185,0.0109565,0.00881771,0.00268264,0.00348935,0.00490575,0.00695196,0.0098965,0.0327072,0.0165188,0.00836138,0.00791042,0.00382779,0.0081366,0.00593287,0.0100479,0.0174933,0.00644974,0.00272917,0.00138361,0.0109911,0.0119729,0.00366375,0.008463,0.00659927,0.00423653,0.0114534,0.0123214,0.0187279,0.0118955,0.00538359,0.00411372,0.00517845,0.005655,0.00711956,0.00893952,0.0105058,0.0125377,0.0111317,0.0103516
