Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSH,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RLMAL,RMEL,RMMAL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
41,0.0262562,0.0266415,0.0107182,0.0263732,0.0091774,0.00986793,0.00454989,0.00320995,0.0107845,0.00674361,0.0117842,0.00761241,0.00732034,0.00871734,0.0224951,0.0114186,0.0176132,0.0209195,0.0201741,0.020587,0.0126057,0.00906337,0.0114277,0.01641,0.00782571,0.0368657,0.0132903,0.00754867,0.00581316,0.0144797,0.0246756,0.0121135,0.0471855,0.0683997,0.0141333,0.0332909,0.0215881,0.0154322,0.0185002,0.0269371,0.0399666,0.0855403,0.00901796,0.00699804,0.00686189
42,0.0260128,0.0264099,0.0108238,0.0257882,0.010602,0.0103631,0.00513025,0.00382247,0.0120703,0.00732981,0.0121378,0.00933418,0.00808969,0.0105253,0.0240157,0.0125711,0.0178026,0.0211636,0.0208272,0.0209492,0.0134476,0.0103181,0.0129417,0.016377,0.00766896,0.0388413,0.014555,0.00780306,0.00729142,0.0141565,0.0260902,0.0116029,0.0478338,0.0693627,0.01405,0.0324765,0.0210688,0.015364,0.017713,0.027182,0.0390175,0.0846679,0.00934419,0.00716883,0.00620033
43,0.025857,0.0263882,0.0112514,0.025217,0.0111482,0.00944533,0.005176,0.0035417,0.0122805,0.00741527,0.0126775,0.0103963,0.00908998,0.0116715,0.0238788,0.0126,0.0162357,0.020221,0.0203504,0.0200754,0.0147106,0.0112114,0.0133395,0.0168328,0.00712894,0.0405722,0.0146953,0.00816422,0.00782407,0.0140148,0.0276119,0.0114343,0.0484995,0.0702237,0.0137529,0.0317615,0.0206482,0.0151037,0.0176314,0.0286636,0.0389478,0.0838333,0.0104909,0.00657295,0.00560673
44,0.0258038,0.0266043,0.0119416,0.024767,0.0109533,0.00760668,0.0047419,0.00352707,0.0115941,0.00750841,0.0134124,0.0107624,0.01035,0.0117658,0.0226677,0.0116082,0.0140947,0.0185596,0.0191169,0.0181517,0.0158817,0.0122311,0.0126597,0.0176427,0.00651647,0.042063,0.0135518,0.00831372,0.00742455,0.0141313,0.029142,0.0118722,0.0493936,0.070748,0.0129245,0.0316064,0.0204435,0.0149577,0.0180131,0.0305425,0.0394787,0.0829325,0.0122161,0.00566905,0.00550755
45,0.0258447,0.0268601,0.0129593,0.0243237,0.0103477,0.00566682,0.00428978,0.00452013,0.0106216,0.00803385,0.0143882,0.0104396,0.0117279,0.0111598,0.0212241,0.0102536,0.0123461,0.016631,0.0176923,0.0156486,0.0162226,0.0132497,0.0112853,0.0185252,0.00626797,0.0433891,0.0117301,0.00792251,0.0071533,0.0142337,0.0305317,0.0126109,0.0504877,0.0708456,0.0116838,0.0322382,0.0204453,0.0152333,0.0186262,0.0322287,0.040156,0.0818972,0.013717,0.00601879,0.00625194
46,0.0259979,0.0269435,0.0144424,0.0235625,0.00964177,0.00425667,0.00428006,0.00566101,0.00982741,0.00884028,0.0157418,0.00946689,0.0130927,0.0105026,0.019947,0.00912865,0.0110893,0.0144709,0.0162675,0.0137167,0.0151734,0.0136909,0.00962922,0.0192123,0.00647644,0.0445852,0.00994867,0.00699223,0.00790537,0.01396,0.0316554,0.0130816,0.0513897,0.0705606,0.0103082,0.0334019,0.0204949,0.015829,0.0194099,0.03362,0.0406765,0.0806361,0.0143625,0.00736331,0.00724366
47,0.0262728,0.0267652,0.0163961,0.0223375,0.00915693,0.00355256,0.00463992,0.0063329,0.0092677,0.00965506,0.0176591,0.00815904,0.0142809,0.0102967,0.0186296,0.00856844,0.00985201,0.0116274,0.0147244,0.0141334,0.0129117,0.0131569,0.00788857,0.0195795,0.00683579,0.0456431,0.00851082,0.00588818,0.00941751,0.0131622,0.0324348,0.012987,0.0516454,0.0698828,0.00900157,0.0345332,0.0204599,0.0162596,0.0203106,0.0347652,0.0409405,0.078812,0.0139829,0.00796451,0.00755024
48,0.0266352,0.0263627,0.0185252,0.0209429,0.0092652,0.00339616,0.00506862,0.00652404,0.00880516,0.0103164,0.0204583,0.00713995,0.0151567,0.0104677,0.0168665,0.00857569,0.00823555,0.00783212,0.013194,0.0175797,0.0103276,0.0116826,0.00604028,0.0196854,0.00700644,0.0465182,0.00741234,0.00507754,0.0110702,0.0119714,0.0327867,0.0124815,0.0511194,0.0685483,0.00790358,0.0352603,0.0203406,0.0160343,0.0212082,0.0356402,0.0409365,0.0758531,0.0128186,0.00736114,0.00690279
49,0.0270265,0.0258585,0.0203506,0.0199072,0.0102466,0.00351435,0.00546034,0.00646503,0.00839516,0.0107299,0.0247526,0.0068174,0.0156888,0.0105531,0.0146523,0.00899682,0.00651705,0.00380418,0.0121118,0.0228932,0.00848578,0.00981541,0.00421204,0.0196911,0.00692454,0.0470426,0.00660661,0.0047615,0.0124184,0.0106521,0.0325318,0.0118377,0.0499653,0.0660524,0.00716268,0.035623,0.0201893,0.0150023,0.0220112,0.0362389,0.0406646,0.0712812,0.0113605,0.00617049,0.00570001
50,0.0273961,0.0253819,0.0215087,0.0195458,0.012032,0.00364131,0.00583756,0.00637731,0.0081303,0.0108936,0.0308514,0.0070125,0.0159738,0.0103038,0.0125581,0.0100936,0.00583508,0.0022765,0.0114824,0.0285253,0.00799466,0.00837543,0.00349429,0.0197535,0.00681343,0.0468765,0.00606569,0.00477775,0.0131871,0.00945048,0.0314214,0.0110776,0.0482964,0.0620028,0.00686294,0.0356745,0.0199276,0.0134784,0.0226852,0.0366209,0.0400798,0.065059,0.0101367,0.00515316,0.00454738
51,0.0277176,0.0249865,0.0220053,0.0196602,0.0143623,0.00361001,0.0062347,0.00641672,0.00810522,0.0109345,0.0377535,0.00741007,0.016224,0.00994753,0.011597,0.0123915,0.00665417,0.00376114,0.0109301,0.0330258,0.00855885,0.00783556,0.00488888,0.0199748,0.00694187,0.0455453,0.00576126,0.00485527,0.0133335,0.00853622,0.0292029,0.0100687,0.045939,0.0563794,0.00701813,0.0351316,0.0193737,0.0119481,0.0231666,0.0367364,0.0390908,0.0574514,0.00947513,0.00464026,0.00382418
52,0.0280075,0.0246398,0.0221252,0.0196926,0.0169274,0.0034401,0.00665761,0.00665592,0.00828026,0.0109723,0.0435902,0.00792729,0.0166693,0.0100125,0.0125278,0.0157308,0.00774172,0.00456019,0.0103391,0.0355718,0.00942312,0.00799169,0.0069139,0.0204044,0.00729775,0.0426666,0.00562934,0.00479004,0.0130433,0.00798674,0.0257412,0.0089241,0.0426541,0.0493987,0.00759407,0.0335768,0.0183748,0.0107124,0.0232423,0.0362106,0.037552,0.0486444,0.0092672,0.00451383,0.00347823
53,0.02831,0.0242634,0.0221618,0.0192081,0.0191135,0.00329375,0.00709198,0.00705195,0.00848406,0.0110071,0.0470076,0.00858378,0.0173826,0.0112069,0.0149982,0.0191676,0.00838812,0.00493008,0.00978675,0.0364384,0.0100629,0.00841933,0.00846893,0.0210549,0.00764873,0.0381778,0.005601,0.00449363,0.0125842,0.00782033,0.0210989,0.00806558,0.038522,0.0411081,0.00845459,0.0308868,0.0168114,0.00978947,0.0225723,0.0344606,0.0352415,0.0385741,0.00906741,0.00441209,0.00319883
54,0.0286498,0.023805,0.0222356,0.0181605,0.0199896,0.00332118,0.00752584,0.00747053,0.00855144,0.0109986,0.0476222,0.00938789,0.0182342,0.0138646,0.0179733,0.0216649,0.00892824,0.00629306,0.00975515,0.0361634,0.0103635,0.00882083,0.00927117,0.021874,0.00792572,0.0323595,0.00565108,0.00404147,0.01215,0.00802328,0.0154974,0.00793175,0.0339992,0.031301,0.00937681,0.0272623,0.014566,0.00904366,0.020879,0.0311239,0.0318128,0.027145,0.00849453,0.00406367,0.00278921
55,0.0289552,0.0233003,0.022353,0.0167701,0.0186724,0.003521,0.00801253,0.00784731,0.00848941,0.0109839,0.0454821,0.0102989,0.0189804,0.0172264,0.0203989,0.0225685,0.00991191,0.010009,0.0113284,0.0343213,0.0105199,0.00902861,0.00951608,0.022709,0.00835262,0.0256429,0.00575562,0.00362653,0.0118387,0.00847603,0.00927121,0.00862366,0.0295382,0.0202473,0.010093,0.0229319,0.0117358,0.00828506,0.0182399,0.0264019,0.026843,0.0146904,0.00752348,0.00356044,0.00236002
56,0.0290662,0.0227777,0.0224928,0.0153347,0.0150524,0.00380691,0.0085185,0.00811365,0.00838481,0.0109992,0.0407119,0.0112896,0.0192842,0.0202629,0.0215125,0.0218136,0.0119113,0.0161016,0.0146644,0.030373,0.010696,0.00899242,0.00956455,0.0234607,0.00909395,0.0185714,0.0058878,0.00343685,0.011637,0.00910153,0.0043767,0.00955474,0.0254287,0.0113614,0.010263,0.0180061,0.00873742,0.00749497,0.0150422,0.020877,0.0199801,0.00650983,0.00646255,0.00327601,0.00227679
57,0.028807,0.0222545,0.0226446,0.0139876,0.0105955,0.00419308,0.00900876,0.00828765,0.00839054,0.0111793,0.0335333,0.012299,0.0189659,0.0226629,0.0211038,0.0197653,0.0151935,0.0233856,0.0187191,0.0246855,0.0109641,0.00889647,0.00973239,0.0240948,0.0100729,0.0116781,0.00594933,0.00344988,0.0115489,0.0097848,0.00818758,0.0101739,0.0220565,0.0153035,0.00980203,0.0127405,0.00662295,0.00718161,0.0119218,0.0153299,0.0114669,0.016736,0.00566034,0.00341827,0.00260297
