Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
127,0.0213269,0.0110681,0.0188088,0.0137144,0.0303246,0.0174831,0.0185645,0.0180019,0.0202859,0.0211489,0.013428,0.0223313,0.0296223,0.0314187,0.0156761,0.0144221,0.0191825,0.0258265,0.0264778,0.0265182,0.0253213,0.010468,0.0138329,0.0150019,0.00777463,0.0117249,0.0105244,0.00612979,0.019649,0.0540651,0.00180928,0.0150509,0.00689043,0.00404972,0.0140821,0.0229803,0.0232232,0.0165331,0.0197989,0.0169306,0.016232
128,0.0214692,0.0109977,0.0182701,0.0135324,0.033808,0.0152564,0.0170997,0.0170769,0.0187269,0.0203126,0.0145025,0.0249979,0.0313881,0.0339044,0.0154482,0.0113241,0.0175459,0.0208217,0.0244303,0.0244873,0.0232841,0.0091362,0.0150543,0.0169527,0.00781184,0.0126019,0.0116706,0.00650387,0.0203662,0.0474422,0.00212735,0.0160047,0.0101879,0.00202766,0.0132003,0.0230407,0.0235432,0.012747,0.0192531,0.0167856,0.0159417
129,0.0223323,0.0104013,0.017375,0.013639,0.0370214,0.0127466,0.0147526,0.0157939,0.0160773,0.0186223,0.0153147,0.0283714,0.0340003,0.036703,0.0153473,0.00800987,0.0157393,0.0184306,0.0211533,0.0212432,0.0196825,0.00772538,0.0157183,0.019762,0.00751067,0.0124904,0.0121623,0.00602814,0.0205675,0.045356,0.00381556,0.0148685,0.0118288,0.00509283,0.0110176,0.0210948,0.022939,0.0133237,0.0172236,0.015109,0.0143261
130,0.0232473,0.00938654,0.0162304,0.0134855,0.0397798,0.0101416,0.011197,0.0141412,0.0121198,0.0161081,0.0154126,0.0318682,0.0374947,0.0397915,0.0153724,0.00596983,0.0138046,0.0201049,0.0163195,0.0165118,0.0143057,0.0069221,0.0155337,0.0207778,0.00641101,0.0108882,0.0113824,0.00431542,0.0196944,0.0454471,0.00468482,0.011428,0.0100688,0.00675355,0.00827575,0.0193042,0.0206976,0.0141013,0.0130168,0.0114608,0.0105102
131,0.022955,0.00840126,0.0151714,0.0126267,0.0417832,0.00786479,0.00690589,0.0126398,0.00699288,0.0133202,0.0148834,0.0347014,0.0412499,0.0425893,0.0155543,0.00565779,0.0125264,0.0229541,0.010528,0.0108286,0.00793344,0.0073556,0.0145227,0.0191254,0.00455772,0.00811903,0.00909915,0.00132435,0.0172715,0.0458204,0.00461499,0.00774472,0.00655832,0.00751426,0.00841846,0.0191898,0.0183777,0.0118789,0.00697963,0.00718502,0.00469548
132,0.0208463,0.00782687,0.0145696,0.0111719,0.0430485,0.00691644,0.00360448,0.012031,0.00145866,0.0116839,0.0143985,0.0363247,0.0443401,0.0444845,0.0155127,0.00586061,0.0126443,0.0249624,0.00545276,0.00575279,0.00436835,0.00871789,0.0130582,0.0162266,0.00379349,0.00550197,0.00564757,0.00377646,0.0137577,0.0468844,0.00489286,0.00707296,0.00541422,0.00790099,0.0125841,0.0211204,0.0182236,0.00928519,0.00488277,0.00816366,0.00363635
133,0.0179394,0.00777419,0.0143833,0.00963053,0.0439965,0.0079439,0.00438008,0.0123704,0.00385508,0.0121654,0.0147924,0.036673,0.0460725,0.0452615,0.0145879,0.00611836,0.0136533,0.0262705,0.00482175,0.0039477,0.00792589,0.0101258,0.0117157,0.0147329,0.00606172,0.00443255,0.00200354,0.00902708,0.0115322,0.0478394,0.00629984,0.00778386,0.00652109,0.00741711,0.016794,0.0241713,0.0200748,0.0084347,0.0105685,0.0133313,0.00903482
134,0.0161305,0.00827318,0.0142681,0.00844992,0.0450133,0.00965089,0.00660809,0.012866,0.00721853,0.0134787,0.0162906,0.0361727,0.0463901,0.0451707,0.0123847,0.00715114,0.0145625,0.0274234,0.00729729,0.00496459,0.0111498,0.010923,0.0109812,0.0159574,0.00891552,0.00579541,0.00224718,0.0137139,0.0127809,0.0480199,0.00825953,0.00778114,0.00862131,0.00701613,0.01898,0.0267826,0.0228051,0.00860085,0.0147823,0.0168022,0.0121936
135,0.0162237,0.00930889,0.0139877,0.00799553,0.046019,0.0104357,0.00798657,0.0128136,0.00848784,0.0140407,0.0181213,0.0354997,0.0458326,0.0446572,0.00915374,0.0092852,0.0146987,0.0283368,0.00863468,0.00615586,0.0119636,0.0109384,0.0110467,0.0184791,0.0106163,0.00847599,0.00386751,0.016368,0.0151377,0.0476129,0.0104721,0.00859461,0.0121418,0.00797492,0.0190638,0.0280423,0.0256799,0.00939895,0.0156254,0.0169551,0.0127157
136,0.0176005,0.0106239,0.0135829,0.00827124,0.0467934,0.00961307,0.00828665,0.0119772,0.00813807,0.0136789,0.0190808,0.035164,0.0450887,0.0440754,0.00667938,0.011799,0.0137116,0.0288095,0.00819395,0.00783244,0.010844,0.0104033,0.0116347,0.0206108,0.0106199,0.0100523,0.00390998,0.0162657,0.0161302,0.0467248,0.0122344,0.0104897,0.0152966,0.00905481,0.0179653,0.0281906,0.0278706,0.0106538,0.0136752,0.0146116,0.0115309
