Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
767,0.0168596,0.0139161,0.0156206,0.00876614,0.0112733,0,0.033471,0.0132306,0.0109774,0.0139199,0.0120121,0.00691843,0,0,0.014037,0.0157515,0.00710263,0.015318,0.0178443,0.0103065,0.0157111,0.012384,0.00159539,0.00345713,0.00226532,0.0108593,0,0.0270364,0.0110299,0.0126855,0.0182515,0,0,0.00343216,0.0051261,0.0102437,0.0115105,0.00887463,0.0138312,0.0067202,0.0132951,0.00625499,0.0146345,0.0073685,0.0173826,0.0192646,0.0146318,0.0176389,0.019647,0.0183976,0.00327838
768,0.0169121,0.0138191,0.015747,0.008715,0.0110974,0,0.0331733,0.0131772,0.0109321,0.0138629,0.0121186,0.00717415,0,0,0.0141239,0.0155991,0.00699474,0.01503,0.0180981,0.0104205,0.0160887,0.0124316,0.00161006,0.00340759,0.0022285,0.0109072,0,0.0269111,0.0112136,0.0126454,0.0180339,0,0,0.00335755,0.00520806,0.0103326,0.0116713,0.00901465,0.0137976,0.0068156,0.0131761,0.00582636,0.0141045,0.0071063,0.0170476,0.0192226,0.0147378,0.0176586,0.0198206,0.0183498,0.00364247
769,0.0170212,0.0139925,0.0159262,0.00864308,0.0108609,0,0.0329343,0.0131732,0.0109065,0.0138321,0.0121176,0.00746464,0,0,0.0141682,0.0154265,0.0069975,0.0146641,0.0183698,0.0105626,0.0163509,0.012598,0.00164565,0.00335097,0.00216985,0.0110183,0,0.0266739,0.0113266,0.0127045,0.0178517,0,0,0.00328185,0.00535922,0.0104832,0.0118752,0.00915659,0.013731,0.00686255,0.0132707,0.00568176,0.0137863,0.0069377,0.0168175,0.0192222,0.014889,0.0176341,0.0198799,0.0182171,0.00388003
770,0.0171907,0.0143697,0.0161086,0.00857084,0.0106251,0,0.032757,0.0131683,0.0108236,0.0137759,0.0120488,0.00762013,0,0,0.0140673,0.0151565,0.00707728,0.0142432,0.0186872,0.0107429,0.0164475,0.0128758,0.00168615,0.00328436,0.00210042,0.01113,0,0.0263313,0.0110922,0.0128073,0.0176902,0,0,0.00319712,0.00552021,0.0106674,0.0121757,0.0092749,0.0136119,0.00686861,0.0135588,0.00573132,0.0133904,0.00681034,0.0166139,0.0192487,0.0150083,0.0175697,0.0198463,0.018058,0.00394059
771,0.0173638,0.0145834,0.0162323,0.00853999,0.0103883,0,0.0326562,0.0130819,0.0106805,0.0136783,0.0120916,0.00757766,0,0,0.0138495,0.0147696,0.00718004,0.013766,0.0190886,0.0110264,0.0165968,0.0131538,0.00171132,0.00323697,0.00206777,0.0112085,0,0.025986,0.0105869,0.0128541,0.0175046,0,0,0.00309287,0.00563498,0.0108492,0.0124977,0.00939986,0.0135178,0.00683534,0.0138365,0.00579404,0.0126546,0.00660621,0.0164009,0.0192021,0.0149585,0.0174482,0.0197673,0.0179361,0.00394908
772,0.0174824,0.0143394,0.0163769,0.00857464,0.0101356,0,0.032619,0.0129467,0.0105145,0.0135833,0.0123109,0.00748751,0,0,0.0136089,0.0143127,0.00726009,0.0132196,0.019577,0.0114661,0.0170558,0.0133887,0.0017117,0.00318024,0.00209006,0.0112132,0,0.0257188,0.0100669,0.0128416,0.0173084,0,0,0.00295603,0.00572277,0.0110591,0.012642,0.00953795,0.0134704,0.00682366,0.0139317,0.00582406,0.0117825,0.00625983,0.0162378,0.0190022,0.0147417,0.0172729,0.0196195,0.0177719,0.00401997
773,0.0175402,0.0138137,0.0166561,0.00866107,0.00989459,0,0.0325908,0.0128507,0.010337,0.0135104,0.0124581,0.00754045,0,0,0.0133917,0.0138603,0.00726269,0.0126874,0.0201239,0.0120306,0.0177497,0.0136468,0.00169162,0.00306325,0.00214699,0.0111306,0,0.0255102,0.00965777,0.0128631,0.0171671,0,0,0.00281001,0.00583722,0.0113422,0.0125425,0.00961676,0.0133884,0.0069327,0.0138559,0.00589094,0.0111055,0.00580349,0.0161378,0.0186284,0.0145564,0.0170374,0.0193171,0.017427,0.0042047
774,0.0175978,0.0134097,0.0170017,0.00876723,0.0097226,0,0.0324794,0.0127838,0.0101356,0.0134056,0.0122645,0.00773252,0,0,0.0132235,0.0134967,0.00715815,0.012324,0.0207036,0.0126152,0.0182542,0.0139219,0.00166215,0.00291004,0.00218312,0.0110175,0,0.0253139,0.0094405,0.0129422,0.0171346,0,0,0.00269815,0.00599065,0.0117078,0.0124079,0.00958225,0.0132293,0.00711608,0.0137867,0.00595718,0.0105548,0.00529684,0.0159851,0.0180809,0.0145064,0.0166691,0.018757,0.0168771,0.00450852
775,0.0177081,0.0132151,0.0172466,0.00888453,0.00963488,0,0.0322103,0.0126403,0.00988625,0.0132267,0.0119421,0.0079463,0,0,0.013192,0.0132718,0.00703461,0.0121832,0.0212943,0.0131263,0.0183042,0.0141272,0.00163685,0.00277366,0.00219174,0.0109707,0,0.0251185,0.00938465,0.0130056,0.0172556,0,0,0.00263421,0.00616603,0.0121526,0.0125385,0.00949023,0.0131062,0.00718409,0.0138761,0.00607812,0.00990216,0.00476235,0.0156688,0.0173379,0.0143965,0.0161123,0.0178449,0.0161425,0.00483141
776,0.0178199,0.0130765,0.017378,0.00903713,0.00956401,0,0.0317999,0.0124213,0.00955438,0.013007,0.0119813,0.00818079,0,0,0.0133535,0.0131675,0.00705091,0.0122038,0.0218464,0.0135368,0.0181894,0.0142937,0.00162649,0.00263849,0.00227322,0.0110696,0,0.0249578,0.00935458,0.0130613,0.0175378,0,0,0.00262862,0.00634168,0.0126463,0.012955,0.00944238,0.0131648,0.00707786,0.0140512,0.00633143,0.00918542,0.0042825,0.0152189,0.0163502,0.0139927,0.0154196,0.0165543,0.0151969,0.00501072
