Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
100,0.0149422,0.0396946,0.0255444,0.00775355,0.0171462,0,0.0475227,0.0175171,0.0129427,0.0113534,0.0191134,0.0286614,0,0,0.00282919,0.0081548,0.00298755,0.00720899,0.0207851,0.0165696,0.0114697,0.0106533,0.00191603,0.0112713,0.00940341,0.0246517,0,0.0456354,0.0192969,0.0472079,0.0400637,0,0,0.0303823,0.0357195,0.0139968,0.0259763,0.00264652,0.00442607,0.0167135,0.0128283,0.0129573,0.0179629,0.017008,0.0178343,0.0143833,0.0163011,0.0191507,0.0199455,0.0193501,0.0150522
101,0.0147862,0.0397257,0.0259061,0.00763783,0.0174005,0,0.0474291,0.0174679,0.013265,0.011551,0.0185009,0.0282409,0,0,0.00217121,0.0080023,0.00310225,0.00727433,0.0210878,0.017165,0.0114571,0.0105857,0.00203116,0.0108325,0.00917318,0.0243628,0,0.0457076,0.0192525,0.0469358,0.039943,0,0,0.0304822,0.0358805,0.0140893,0.0259346,0.00245067,0.00391482,0.0171061,0.0120143,0.0126425,0.0167213,0.0161709,0.0175155,0.0160257,0.0180297,0.0209997,0.0216318,0.0212116,0.0147518
102,0.0146218,0.0397174,0.026234,0.00748069,0.0176143,0,0.0472975,0.0173811,0.0136112,0.0117387,0.0179343,0.0278248,0,0,0.00164252,0.00791221,0.00325986,0.0073927,0.0213479,0.0177688,0.0113867,0.0103946,0.00230913,0.0103877,0.00892583,0.0240408,0,0.0457833,0.0191664,0.0466553,0.0397691,0,0,0.0306155,0.0360465,0.0142019,0.025821,0.00226911,0.00373659,0.0173419,0.0113293,0.012163,0.0154922,0.0152514,0.0169787,0.0173277,0.0192673,0.0223736,0.0228631,0.0225147,0.0142288
103,0.0144538,0.0396835,0.0265297,0.00730107,0.0177736,0,0.0471301,0.0172561,0.0139646,0.0119164,0.0174478,0.0274379,0,0,0.00149918,0.00784119,0.00340605,0.00755278,0.021577,0.018362,0.0112938,0.0100897,0.00271703,0.0099438,0.00865246,0.0236996,0,0.0458782,0.0190381,0.046399,0.0395667,0,0,0.0307868,0.0362262,0.0143396,0.0256337,0.00202506,0.00404092,0.0173683,0.0107579,0.011501,0.0143022,0.0142774,0.0162053,0.0181185,0.0198529,0.0231062,0.0235079,0.0231644,0.0134952
104,0.0142815,0.0396471,0.0267947,0.00711257,0.0178689,0,0.0469347,0.0170909,0.0143018,0.0120833,0.0170743,0.0271032,0,0,0.00178961,0.00776415,0.00350301,0.00774459,0.0217844,0.018923,0.0111793,0.00968587,0.00318024,0.00951081,0.00835075,0.0233524,0,0.0460109,0.0188686,0.0461881,0.0393671,0,0,0.0309992,0.0364316,0.0145077,0.0253761,0.00169069,0.00485573,0.0171892,0.0102818,0.0106751,0.0131598,0.0132573,0.0152114,0.0182491,0.0196557,0.0230673,0.0234506,0.0230818,0.0125768
105,0.0140992,0.0396366,0.0270301,0.00691112,0.0179011,0,0.046726,0.0168847,0.0145964,0.0122384,0.0168383,0.0268402,0,0,0.00227185,0.00769042,0.00353666,0.00795327,0.0219714,0.0194302,0.011031,0.00920052,0.00363208,0.00910113,0.00802345,0.0230095,0,0.0462003,0.0186603,0.0460306,0.0392013,0,0,0.0312588,0.0366816,0.0147143,0.025059,0.00136633,0.00605788,0.0168722,0.00988824,0.00973612,0.0120687,0.0121909,0.0140496,0.0176134,0.0186062,0.0222027,0.02262,0.0222229,0.0115263
106,0.0138983,0.0396786,0.0272366,0.00667655,0.0178823,0,0.0465205,0.0166391,0.0148223,0.0123805,0.0167489,0.0266636,0,0,0.00277473,0.0076542,0.00351537,0.008153,0.0221272,0.0198664,0.010852,0.00865155,0.00404199,0.00872881,0.00767921,0.0226741,0,0.046465,0.0184141,0.0459263,0.0390937,0,0,0.0315781,0.0370033,0.0149712,0.0247001,0.00129265,0.00744292,0.0165251,0.00957376,0.00875643,0.0110488,0.011091,0.0127986,0.0161851,0.0167293,0.0205723,0.0210225,0.0206123,0.0104336
107,0.0136767,0.0397853,0.0274173,0.00638591,0.0178357,0,0.0463336,0.0163611,0.0149593,0.0125075,0.0167949,0.0265823,0,0,0.00323123,0.0076893,0.00346479,0.0083123,0.0222307,0.0202217,0.0106723,0.00805799,0.00440362,0.00840746,0.00733438,0.0223407,0,0.0468188,0.0181323,0.0458729,0.039058,0,0,0.0319715,0.0374206,0.0152963,0.0243213,0.00157867,0.00879808,0.0162523,0.00933681,0.00781756,0.0101462,0.0100046,0.0115493,0.0140699,0.0141746,0.0183769,0.0187748,0.0183836,0.00942456
108,0.0134421,0.0399503,0.0275784,0.00603286,0.0177882,0,0.0461808,0.0160624,0.0150105,0.0126173,0.0169525,0.0266005,0,0,0.0036072,0.00780192,0.00342026,0.0083982,0.022255,0.0204937,0.0105343,0.00744772,0.00471193,0.00814968,0.00700971,0.0219963,0,0.0472628,0.0178201,0.0458667,0.0390954,0,0,0.0324481,0.0379392,0.0157094,0.0239441,0.00206355,0.00994563,0.0161264,0.00916757,0.00699679,0.00941808,0.00901545,0.0103833,0.0115709,0.0112375,0.0159622,0.0161312,0.0158098,0.00865089
109,0.0132068,0.0401496,0.0277273,0.00562895,0.0177608,0,0.0460735,0.0157529,0.0149991,0.0127111,0.0171944,0.0267198,0,0,0.00387389,0.00797258,0.00341835,0.00838473,0.0221749,0.0206849,0.0104633,0.00685721,0.00496144,0.00796862,0.00672816,0.02162,0,0.0477858,0.0174821,0.0459033,0.0391968,0,0,0.0330084,0.038538,0.0162314,0.0235827,0.00262457,0.0107717,0.0161618,0.00904976,0.00635399,0.00889571,0.00822053,0.00936071,0.00925753,0.008376,0.013767,0.0134841,0.0132813,0.00823595
