Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH3,RTOE,RUA1,RUA2,RUA3
199,0.00885226,0.02856,0.0235187,0.00368483,0.0130742,0.00121435,0.00473057,0.00503405,0.00855005,0.0109857,0.0247121,0.012281,0.00532446,0.00294193,0.00598989,0.00227957,0.00528574,0.0056008,0.01386,0.00701135,0.00894307,0.00469651,0.0329111,0.00568047,0.00779522,0.00286322,0.00720316,0.00416673,0.0122094,0.00843799,0.0277809,0.0100429,0.0208577,0.019981,0.0105635,0.0134793,0.0209725,0.0138737,0.00859851,0.00954242,0.0128887
200,0.00851193,0.0285003,0.0231575,0.0045272,0.0131438,0.00106741,0.00489092,0.00509353,0.00849844,0.010987,0.0259124,0.0114181,0.00514953,0.00261803,0.0059443,0.00120456,0.00436858,0.00427033,0.0132942,0.00709992,0.00869657,0.00461065,0.0325548,0.00512957,0.00687516,0.0025387,0.00728108,0.00452413,0.0121074,0.00813539,0.0281441,0.0110042,0.0194606,0.0184896,0.0101082,0.0114863,0.0211896,0.014626,0.00887195,0.00944374,0.0140947
201,0.00812116,0.0286951,0.022952,0.00550746,0.0131501,0.00117094,0.00516011,0.00514116,0.00833359,0.0111054,0.0272667,0.0111337,0.00490744,0.00209638,0.00555678,0.00404214,0.00461529,0.00287071,0.0124471,0.00721448,0.00852178,0.00462861,0.0324806,0.00506917,0.00648129,0.00202558,0.00725943,0.00489529,0.011963,0.00767613,0.0282667,0.0121672,0.016574,0.0169774,0.00913319,0.0115099,0.02058,0.0150074,0.00919779,0.00936156,0.0150331
202,0.00766455,0.0291446,0.0228276,0.00650391,0.0127059,0.00162507,0.00554309,0.00522849,0.00803351,0.0112782,0.0289392,0.0114447,0.00474239,0.00209071,0.00503206,0.00708294,0.00595695,0.00168942,0.0114197,0.0072912,0.00858192,0.00482562,0.0326702,0.00535756,0.00760068,0.00160583,0.00713343,0.00526303,0.0118233,0.00727632,0.0279308,0.0134571,0.0125988,0.0155119,0.00835184,0.0144043,0.0194573,0.0153942,0.00951209,0.00926542,0.0156555
203,0.00717343,0.0298101,0.0226775,0.0075441,0.0114581,0.00221355,0.00599686,0.00536828,0.00762663,0.0114681,0.0309898,0.0120781,0.00475307,0.00283057,0.00457827,0.0103877,0.00839488,0.00180913,0.0103551,0.00725747,0.00889695,0.00517049,0.0330223,0.00564375,0.0091656,0.0015093,0.00686762,0.00561994,0.0117353,0.00710571,0.0269691,0.0148335,0.00902496,0.0140042,0.00891189,0.0185002,0.0184528,0.0160219,0.00975704,0.00913709,0.0159691
204,0.00674733,0.0306041,0.0224148,0.00867772,0.00948404,0.00268184,0.00644499,0.0055214,0.0071677,0.0116833,0.0331718,0.0126919,0.00510095,0.0040921,0.00437118,0.0138481,0.0118778,0.00424709,0.00936242,0.00709056,0.00931879,0.00556571,0.0333562,0.00579637,0.0101373,0.00160297,0.00647902,0.00592482,0.0117569,0.00712807,0.0256264,0.0161863,0.00824406,0.0126881,0.0107593,0.0218155,0.0181554,0.0167802,0.00994237,0.0089923,0.0160188
205,0.00655703,0.0314114,0.0220097,0.00985881,0.00754456,0.00285451,0.00680454,0.00562587,0.00672245,0.011945,0.0350209,0.0130507,0.00587366,0.00583908,0.004711,0.0168658,0.0158489,0.0071757,0.00845603,0.00680667,0.00960785,0.00588848,0.0334723,0.00593978,0.0103152,0.00155949,0.00606542,0.00607461,0.0119377,0.00720993,0.0245428,0.0172554,0.010009,0.0118189,0.0126059,0.0233144,0.0186196,0.017439,0.0101462,0.00886458,0.0158686
206,0.00675543,0.0321056,0.0215144,0.0109044,0.00670127,0.00268773,0.00701846,0.00564361,0.00635998,0.0122411,0.036123,0.013069,0.00686083,0.00774757,0.00565621,0.0187527,0.019444,0.00943694,0.00757067,0.00645122,0.00958775,0.00604905,0.0332378,0.00630501,0.00988991,0.00134444,0.00577434,0.00598433,0.0122937,0.00730826,0.0241656,0.017719,0.0117746,0.0111862,0.0134707,0.0230002,0.0193843,0.0178572,0.0104504,0.00881008,0.0155893
207,0.00732864,0.0325945,0.0210337,0.0115709,0.00714832,0.0023008,0.00705222,0.00558527,0.00614585,0.0125121,0.0363576,0.0127595,0.00773097,0.0091413,0.00666595,0.0191751,0.0219227,0.0103359,0.00667545,0.00606754,0.0092585,0.00600541,0.0326647,0.0069636,0.00916835,0.00135118,0.00574793,0.00568703,0.0127815,0.00746843,0.0242755,0.0174408,0.0124764,0.0103965,0.0131445,0.0217468,0.0199843,0.0179783,0.0108753,0.00889536,0.0152465
208,0.00804427,0.0328451,0.0206742,0.0117235,0.00819257,0.0020616,0.0068896,0.00551012,0.00612721,0.012691,0.0359172,0.0122058,0.00824804,0.00941998,0.00721185,0.0183173,0.0229108,0.00984975,0.0059557,0.00570128,0.00876679,0.00577586,0.0319004,0.00771535,0.00849459,0.00189191,0.00603701,0.00534424,0.0133215,0.00774447,0.0243146,0.0166271,0.0122281,0.00952347,0.0120639,0.0208687,0.0202477,0.0177432,0.0113474,0.00915943,0.0148979
209,0.00861759,0.0328985,0.0204744,0.0114521,0.00931976,0.00242271,0.00652628,0.00549352,0.00632868,0.0127391,0.0350951,0.0115095,0.00844751,0.00854527,0.00722472,0.0167013,0.0223785,0.00858475,0.00587307,0.00537829,0.00826069,0.00541117,0.0311674,0.00830009,0.00817031,0.0027204,0.00654577,0.00509553,0.0138186,0.00813152,0.0240286,0.0156027,0.0116103,0.00924704,0.0109687,0.0213002,0.0202466,0.0170235,0.0117171,0.00953779,0.0145557
210,0.00888933,0.0328494,0.0204444,0.0110278,0.0102759,0.00327273,0.00595971,0.00556945,0.00673735,0.0126401,0.0341202,0.0107545,0.00853147,0.00714924,0.00686714,0.0148214,0.0204475,0.00731204,0.00688977,0.00508758,0.00773419,0.00494538,0.0306241,0.00863696,0.00832561,0.00350997,0.0071342,0.00502633,0.0142222,0.00859642,0.0236427,0.0144299,0.0113046,0.0101642,0.010464,0.022908,0.0201376,0.0156803,0.0118706,0.00992238,0.0142121
211,0.00884664,0.0327891,0.0205789,0.0106761,0.0108476,0.00418708,0.00519315,0.00570355,0.00732015,0.0123779,0.0330515,0.00998217,0.00846758,0.00609636,0.006093,0.0128961,0.0173229,0.00634174,0.00894292,0.00477437,0.00705617,0.00435087,0.0303319,0.00888983,0.00869313,0.00405439,0.00767748,0.00515531,0.014501,0.00903981,0.0236228,0.0127866,0.0116669,0.0118701,0.0105336,0.0248699,0.0200379,0.0139155,0.0117631,0.0101986,0.0138311
212,0.00854692,0.0327789,0.0208486,0.0103812,0.0108858,0.00490118,0.00429531,0.00585359,0.00801259,0.0119832,0.0318549,0.00927948,0.00815261,0.00617929,0.00483904,0.0109397,0.0134145,0.00534147,0.0110751,0.00441709,0.00612546,0.00360483,0.0302771,0.00946077,0.00876433,0.00434415,0.00809956,0.00548539,0.0146535,0.00928372,0.0241811,0.0104044,0.0124609,0.0134375,0.010654,0.0265516,0.0199407,0.0126954,0.0114633,0.0103647,0.0134392
213,0.00802433,0.0328308,0.0212281,0.0099544,0.0106013,0.00530854,0.00337978,0.00597841,0.00873279,0.0115139,0.0307248,0.00893387,0.00801558,0.00811677,0.00338753,0.00910336,0.00957907,0.00422287,0.0118917,0.00403713,0.00496947,0.00275596,0.0304635,0.0105391,0.00824465,0.00447541,0.00835576,0.00599598,0.0146557,0.00909753,0.0251198,0.00768066,0.0132084,0.0142655,0.0104318,0.0278516,0.0197234,0.0130667,0.011077,0.0105008,0.0130949
214,0.00728808,0.0329161,0.0217334,0.00941625,0.0109753,0.00536072,0.00259166,0.00601082,0.0094095,0.0110444,0.030154,0.00942753,0.00851991,0.0109912,0.00244589,0.00780031,0.00696824,0.00406521,0.0107992,0.003662,0.00371619,0.00206037,0.0309458,0.011406,0.00723742,0.00452588,0.00842192,0.00663692,0.0144504,0.00854838,0.0260168,0.00597382,0.0136562,0.0142625,0.00987726,0.0290486,0.0191147,0.0145064,0.0106796,0.0107269,0.0128233
215,0.00642173,0.0330036,0.0224483,0.00918452,0.0130531,0.00502687,0.00215878,0.00586495,0.0100543,0.0106352,0.0304338,0.0109761,0.00909144,0.0127095,0.0038122,0.007437,0.00623854,0.00573147,0.00915557,0.00328557,0.00250616,0.00214533,0.0317831,0.0110449,0.00612588,0.00461884,0.00828415,0.00729035,0.0139624,0.00825325,0.0265171,0.00671361,0.0139566,0.0137957,0.00937501,0.0304615,0.0177685,0.0155298,0.0102802,0.0110604,0.0125446
